0, 18-04-2020 14:26:24, Hardware monitoring log v1.5 ,,,,,,,,,,,,,
1, 18-04-2020 14:26:24, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,
2, 18-04-2020 14:26:24, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,
80, 18-04-2020 14:28:27,44,48,66.965,135,405,67,13.686,3289.869,3282,75.8,0,,,2020-04-18T14:28:27.838216500+03:00 polygons 1440 objects 120
80, 18-04-2020 14:28:28,44,47,66.965,135,405,66,14.258,3289.84,3282,75.5,0,,,2020-04-18T14:28:28.837981400+03:00 polygons 1452 objects 121
80, 18-04-2020 14:28:29,44,49,66.965,135,405,60,15.234,3289.84,3282,74.6,0,,,2020-04-18T14:28:29.853370300+03:00 polygons 1464 objects 122
80, 18-04-2020 14:28:30,44,47,66.965,135,405,64,15.43,3289.841,3282,73.2,0,,,2020-04-18T14:28:30.868775600+03:00 polygons 1476 objects 123
80, 18-04-2020 14:28:31,44,48,66.965,135,405,65,15.039,3190.149,3282,73,0,,,2020-04-18T14:28:31.868524800+03:00 polygons 1488 objects 124
80, 18-04-2020 14:28:32,44,48,66.965,135,405,64,14.063,3190.149,3282,73,0,,,2020-04-18T14:28:32.868283900+03:00 polygons 1500 objects 125
80, 18-04-2020 14:28:33,44,45,66.965,135,405,64,14.258,3190.149,3282,72.1,0,,,2020-04-18T14:28:33.883679700+03:00 polygons 1512 objects 126
80, 18-04-2020 14:28:34,44,49,66.965,135,405,66,14.453,3289.841,3282,72.4,0,,,2020-04-18T14:28:34.883446600+03:00 polygons 1524 objects 127
80, 18-04-2020 14:28:35,44,46,66.965,135,405,60,15.234,3289.841,3282,71.5,0,,,2020-04-18T14:28:35.898809200+03:00 polygons 1536 objects 128
80, 18-04-2020 14:28:36,44,48,66.965,135,405,66,14.063,3289.841,3282,71,0,,,2020-04-18T14:28:36.898601700+03:00 polygons 1548 objects 129
80, 18-04-2020 14:28:37,44,48,66.965,135,405,65,14.063,3190.149,3282,70.3,0,,,2020-04-18T14:28:37.913991700+03:00 polygons 1560 objects 130
80, 18-04-2020 14:28:38,44,46,66.965,135,405,65,13.867,3289.841,3282,70.6,0,,,2020-04-18T14:28:38.913757200+03:00 polygons 1572 objects 131
80, 18-04-2020 14:28:39,44,47,66.965,135,405,66,13.477,3289.841,3282,69.8,0,,,2020-04-18T14:28:39.913527400+03:00 polygons 1584 objects 132
80, 18-04-2020 14:28:40,44,49,66.965,135,405,66,13.867,3190.149,3282,69.5,0,,,2020-04-18T14:28:40.913296+03:00 polygons 1596 objects 133
80, 18-04-2020 14:28:41,44,47,68.965,135,405,64,13.867,3190.148,3282,68.9,0,,,2020-04-18T14:28:41.928681200+03:00 polygons 1608 objects 134
80, 18-04-2020 14:28:42,44,47,68.965,135,405,63,14.453,3190.148,3282,66.8,0,,,2020-04-18T14:28:42.928447800+03:00 polygons 1620 objects 135
80, 18-04-2020 14:28:43,44,47,68.965,135,405,64,14.258,3190.149,3282,67.9,0,,,2020-04-18T14:28:43.943809200+03:00 polygons 1632 objects 136
80, 18-04-2020 14:28:44,44,47,68.965,135,405,60,13.867,3190.146,3282,66.6,0,,,2020-04-18T14:28:44.943591700+03:00 polygons 1644 objects 137
80, 18-04-2020 14:28:45,44,48,68.965,135,405,66,14.258,3289.839,3282,67.4,0,,,2020-04-18T14:28:45.959014300+03:00 polygons 1656 objects 138
80, 18-04-2020 14:28:46,44,49,68.965,135,405,65,14.648,3289.84,3282,67.2,0,,,2020-04-18T14:28:46.974351200+03:00 polygons 1668 objects 139
80, 18-04-2020 14:28:47,45,47,68.965,135,405,65,14.453,3190.151,3282,66.1,0,,,2020-04-18T14:28:47.974118100+03:00 polygons 1680 objects 140
80, 18-04-2020 14:28:48,45,47,68.965,135,405,65,14.258,3190.151,3282,65.5,0,,,2020-04-18T14:28:48.989532200+03:00 polygons 1692 objects 141
80, 18-04-2020 14:28:49,45,46,68.965,135,405,60,15.039,3190.149,3282,65,0,,,2020-04-18T14:28:49.989298400+03:00 polygons 1704 objects 142
80, 18-04-2020 14:28:50,45,46,68.965,135,405,63,14.453,3289.84,3282,64.7,0,,,2020-04-18T14:28:51.004687+03:00 polygons 1716 objects 143
80, 18-04-2020 14:28:51,45,48,68.965,135,405,63,13.867,3190.148,3282,64.2,0,,,2020-04-18T14:28:52.020048400+03:00 polygons 1728 objects 144
