00, 02-05-2020 19:40:55, Hardware monitoring log v1.5 
01, 02-05-2020 19:40:55, GeForce RTX 2070,Intel(R) HD Graphics 630
02, 02-05-2020 19:40:55, GPU1 usage          ,GPU1 memory usage   ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           
80, 02-05-2020 19:44:11, 12.000              ,475.086             ,54.297              ,4191.159            ,3901.000            ,413.600             ,0.000               
80, 02-05-2020 19:44:12, 12.000              ,475.086             ,57.813              ,4191.158            ,3904.000            ,405.900             ,0.000               
80, 02-05-2020 19:44:13, 12.000              ,475.086             ,55.859              ,4191.158            ,3896.000            ,406.600             ,0.000               
80, 02-05-2020 19:44:14, 12.000              ,475.086             ,58.203              ,4191.159            ,3896.000            ,403.100             ,0.000               
80, 02-05-2020 19:44:15, 13.000              ,475.086             ,34.375              ,4191.158            ,3895.000            ,425.900             ,0.000               
80, 02-05-2020 19:44:16, 13.000              ,475.086             ,28.906              ,4191.158            ,3902.000            ,428.600             ,0.000               
80, 02-05-2020 19:44:17, 13.000              ,475.086             ,29.297              ,4191.159            ,3896.000            ,425.500             ,0.000               
80, 02-05-2020 19:44:18, 13.000              ,475.086             ,33.203              ,4191.159            ,3903.000            ,425.100             ,0.000               
80, 02-05-2020 19:44:19, 13.000              ,475.086             ,29.297              ,4191.158            ,3903.000            ,426.600             ,0.000               
80, 02-05-2020 19:44:20, 13.000              ,475.086             ,30.469              ,4191.158            ,3907.000            ,425.000             ,0.000               
80, 02-05-2020 19:44:21, 13.000              ,475.086             ,30.078              ,4191.159            ,3898.000            ,416.500             ,0.000               
80, 02-05-2020 19:44:22, 13.000              ,475.086             ,31.641              ,4191.159            ,3897.000            ,415.800             ,0.000               
80, 02-05-2020 19:44:23, 13.000              ,475.086             ,29.688              ,4191.159            ,3897.000            ,415.600             ,0.000               
80, 02-05-2020 19:44:24, 13.000              ,475.086             ,29.688              ,4191.158            ,3903.000            ,416.700             ,0.000               
80, 02-05-2020 19:44:25, 13.000              ,475.086             ,32.422              ,4191.158            ,3891.000            ,410.500             ,0.000               
